Прізвище,Ім'я,Побатькові,Стать,Дата народження,Посада,Місто проживання,Адреса,Телефон,Email
Пелех,Мирон,Олегович,Чоловік,1941-12-04 00:00:00,Стоматолог,місто Юстина,"набережна Орлик, 90, село Любов, 83898",+38 302 019-91-13,biashchuk@meta.ua
Устенко,Артем,Анатолійович,Чоловік,1968-06-25 00:00:00,Фермер,хутір Еріка,"проспект Гаврюшенко, 42, хутір Орест, 78168",+38 367 150 56 07,wdanyliuk@meta.ua
Бебешко,Вадим,Вадимович,Чоловік,1962-08-27 00:00:00,Няня,хутір Анастасія,"Бездітко узвіз, 494, місто Охрім, 58014",505-51-27,zbaida@email.ua
Бабич,Артем,Олегович,Чоловік,1965-06-05 00:00:00,Будник,хутір Віталій,"Гаврюшенко узвіз, 976, хутір Христина, 51169",872-64-09,tereza79@email.ua
Бездітко,Аніта,Георгіївна,Жінка,1980-01-26 00:00:00,Етнограф,хутір Теодор,"проспект Михайличенко, 4, селище Варфоломій, 48584",001 631 10 46,rvakulenko@ukr.net
Цимбал,Альберт,Максимович,Чоловік,2006-03-18 00:00:00,Живописець,хутір Марта,"майдан Тимчук, 4, селище Наталія, 44573",068 515-49-13,iaroslav72@sirko-zakharchenko.info
Радченко,Едуард,Вікторович,Чоловік,2006-06-20 00:00:00,Кінокритик,місто Марʼяна,"Батуринець узвіз, 4, село Орися, 11992",+38 (623) 970-90-49,danylo01@meta.ua
Пелех,Лариса,Григорівна,Жінка,1948-02-25 00:00:00,Фотограф,село Роксолана,"Мазепа узвіз, 4, місто Анжела, 102229",089-62-91,levkoaverchenko@sahalʹ-zasenko.com
Прокопович,Ліза,Михайлівна,Жінка,1953-07-14 00:00:00,Клоун,місто Вадим,"Баштан узвіз, 27, селище Онисим, 71499",275-33-40,alina54@tiahnybok.info
Михайлюк,Стефан,Юрійович,Чоловік,1983-06-18 00:00:00,Сантехнік,село Амвросій,"бульвар Рубан, 002, село Арсен, 57999",+38 487 747 76 90,demʼianchukieva@meta.ua
Тичина,Семен,Олегович,Чоловік,1962-07-20 00:00:00,Композитор,село Єва,"Заєць узвіз, 097, село Христина, 82154",+38 900 754-98-67,qshablii@ukr.net
Самойленко,Герман ,Георгійович,Чоловік,1984-04-27 00:00:00,Складальник,місто Феофан,"Чуприна узвіз, 454, село Єлисавета, 92405",044 684-85-48,varfolomiisirchenko@lubenetsʹ-kabanenko.info
Негода,Роксолана,Костянтинівна,Жінка,1951-05-06 00:00:00,Пекар,село Юстим,"Артимишин узвіз, 844, місто Станіслав, 43606",+38 277 185-94-45,marko59@ukr.net
Ребрик,Амвросій,Юрійович,Чоловік,2007-03-11 00:00:00,Біолог,місто Леопольд,"Ляшко узвіз, 1, хутір Нестор, 69781",+38 203 609 97 04,demʼianlaba@tsiutsiura-tsarenko.com
Зінченко,Єфрем,Назарович,Чоловік,1981-03-24 00:00:00,Стиліст,село Охрім,"проспект Козаченко, 21, селище Марія, 11798",+38 325 514-06-62,oksana17@ukr.net
Баран,Онисим,Петрович,Чоловік,1995-10-16 00:00:00,Детектив,селище Пріска,"Саченко узвіз, 82, хутір Михайлина, 09775",091 875 61 14,erikadarahan@email.ua
Приймак,Євген,Максимович,Чоловік,1993-10-15 00:00:00,Фармацевт,місто Омелян,"набережна Гузенко, 58, хутір Василина, 08276",343 38 70,solomiiahaievsʹkyi@email.ua
Юрчук,Станіслав,Максимович,Чоловік,1986-03-18 00:00:00,Педагог,селище Аркадій,"бульвар Фесенко, 28, хутір Антон, 45795",+38 519 166-99-63,babarychenkovadym@mishchenko-mykhailychenko.net
Гоголь-Яновський,Арсен,Вікторович,Чоловік,1944-07-01 00:00:00,Графік,селище Людмила,"Андрієнко узвіз, 928, селище Ростислав, 49425",157 05 54,atamanchukliudmyla@liashko.net
Терещук,Устим,Юрійович,Чоловік,1990-09-16 00:00:00,Інженер,село Йосип,"майдан Іванченко, 347, місто Захар, 55091",+38 970 486-79-59,tymofiizasenko@khmara.укр
Захарченко,Ярема,Георгійович,Чоловік,1956-08-09 00:00:00,Хореограф,місто Демид,"Іванченко узвіз, 910, місто Опанас, 64843",464 39 37,iushchenkovira@derhach.com
Іваничук,Спас,Олегович,Чоловік,1948-02-04 00:00:00,Диригент,місто Дмитро,"Притула узвіз, 22, місто Левко, 93513",047 249 67 10,ubabychenko@gmail.com
Шинкаренко,Богодар,Артемович,Чоловік,1945-11-02 00:00:00,Скульптор,селище Михайлина,"майдан Цушко, 434, хутір Охрім, 26349",+38 552 065-62-55,chuprynaeduard@gmail.com
Гаврилів,Іван,Олегович,Чоловік,1994-01-02 00:00:00,Мірошник,селище Володимир,"Зайченко узвіз, 02, селище Едуард, 109702",+38 826 547-25-39,ostap61@shvachko-kozachenko.net
Лаба,Єлисавета,Володимирівна,Жінка,1961-02-21 00:00:00,Диригент,село Марʼяна,"майдан Свириденко, 49, місто Симон, 17472",+38 268 164-25-10,valentynaandriiovych@ukr.net
Ткаченко,Богдан,Максимович,Чоловік,1993-08-19 00:00:00,ГеологГеофізикГицель,хутір Антон,"Безбородьки узвіз, 33, село Гордій, 39810",081 421-69-99,esymonenko@meta.ua
Годунок,Володимира,Вікторівна,Жінка,1999-04-25 00:00:00,Мовознавець,хутір Данило,"Затовканюк узвіз, 974, селище Микита, 109171",+38 865 820-62-98,izhakamvrosii@tkach.ua
Верховинець,Ірена,Олегівна,Жінка,2005-02-25 00:00:00,Модельєр,хутір Аніта,"Вахній узвіз, 5, місто Олег, 48414",038 280-55-47,fdavydenko@meta.ua
Бездітко,Давид,Петрович,Чоловік,1957-12-06 00:00:00,Підприємець,місто Світлана,"Акуленко узвіз, 6, село Георгій, 48261",+38 (186) 513-66-76,durdynetsʹanastasiia@ukr.net
Дейнека,Богданна,Даниліївна,Жінка,1972-07-13 00:00:00,Реабілітолог,хутір Остап,"набережна Токар, 20, село Роман, 82129",065 521 25 54,sabrahamovsʹkyi@hodunok.укр
Чалий,Руслан,Данилович,Чоловік,1996-03-05 00:00:00,Фермер,село Віра,"майдан Черінько, 6, селище Орест, 108471",039 638-29-51,abramenkovira@nestaiko.com
Андрейко,Тарас,Ільїч,Чоловік,1946-07-30 00:00:00,Патологоанатом,село Дарина,"Олійник узвіз, 29, селище Марія, 104557",016 276-94-45,allarak@meta.ua
Заєць,Вʼячеслав,Дмитрович,Чоловік,1982-10-07 00:00:00,Флорист,село Валерій,"провулок Зарудний, 0, хутір Орест, 107221",+38 080 705 97 50,marusia38@ukr.net
Якимчук,Нестор,Дмитрович,Чоловік,1964-01-01 00:00:00,Гірничий інженер,місто Азар,"Тарасенко узвіз, 0, селище Герман , 44239",+38 179 352-27-21,zorian59@gov.ua
Дергач,Костянтин,Володимирович,Чоловік,1995-05-15 00:00:00,Електротехнік,селище Богуслава,"вулиця Негода, 04, хутір Олекса, 94210",274 87 40,yhavryliv@shchyrytsia-datsiuk.укр
Вернигора,Левко,Назарович,Чоловік,1983-09-08 00:00:00,Провізор,село Ілля,"Сіробаба узвіз, 63, хутір Алевтин, 42121",+38 461 572-97-07,whrytsenko@gov.ua
Василевич,Михайлина,Даниліївна,Жінка,1978-01-12 00:00:00,Композитор,хутір Варфоломій,"Терещенко узвіз, 5, хутір Богуслава, 28957",040 398 30 50,alʹberttymchuk@babych.ua
Демʼянюк,Богдан,Дмитрович,Чоловік,1961-02-04 00:00:00,Бібліотекар,хутір Ірена,"вулиця Ґоляш, 23, селище Остап, 04737",+38 895 711 67 26,qshtepa@nestaiko.укр
Гайдамака,Софія,Петрівна,Жінка,1998-02-22 00:00:00,Професор,селище Вʼячеслав,"набережна Бебешко, 01, хутір Омелян, 64233",038 349-99-24,bdanchuk@yevtushenko.ua
Бебешко,Андрій,Григорович,Чоловік,1968-02-26 00:00:00,Музичний редактор,село Борислав,"набережна Ляшко, 182, село Галина, 23748",606 25 28,izhakviktoriia@meta.ua
Забара,Дмитро,Артемович,Чоловік,1994-03-18 00:00:00,Юрист,селище Адам,"провулок Луценко, 10, село Ірена, 74218",087 870 18 08,zarudnyifrants@arkhymovych-vanchenko.ua
Литвин,Владислав,Михайлович,Чоловік,1987-07-24 00:00:00,Драматург,село Орися,"провулок Радченко, 8, хутір Артем, 25738",+38 601 818-08-58,zinchenkosolomiia@ukr.net
Яценюк,Клавдія,Даниліївна,Жінка,1957-11-07 00:00:00,Візажист,село Віра,"майдан Ярош, 596, село Алевтин, 101027",707 75 31,ielyseisvyrydenko@khmara.info
Акименко,Йосип,Артемович,Чоловік,1989-05-23 00:00:00,Бухгалтер,село Лукʼян,"Яценко узвіз, 96, селище Нестор, 62996",000 034 96 80,orynaostapchuk@yurchyshyn-charnysh.org
Данченко,Алла,Олегівна,Жінка,1956-12-21 00:00:00,Машиніст,хутір Венедикт,"набережна Гайдай, 25, місто Данна, 84900",831-95-10,ymalyshko@datsenko.ua
Ярема,Амвросій,Георгійович,Чоловік,1967-05-30 00:00:00,Музикант,місто Сніжана,"Дробаха узвіз, 22, місто Дарина, 02635",+38 955 012 38 03,emiliiaaverchenko@ukr.net
Кармалюк,Леопольд,Вікторович,Чоловік,2008-03-06 00:00:00,Слідчий,хутір Аліна,"проспект Зубко, 6, хутір Гліб, 89080",674-90-60,edyta30@andriievych-opanasenko.net
Гавришкевич,Одарка,Даниліївна,Жінка,1995-03-13 00:00:00,Випробувач,місто Тимофій,"Наливайко узвіз, 7, хутір Тарас, 44205",+38 266 793 06 69,varvara33@gmail.com
Христич,Юстина,Петрівна,Жінка,1994-03-04 00:00:00,Промисловець,селище Мілена,"Матяш узвіз, 27, селище Ольга, 64556",002 404 20 18,iukhymlazarenko@adamenko.info
Ґереґа,Пріска,Костянтинівна,Жінка,1979-08-30 00:00:00,Письменник,селище Петро,"Уманець узвіз, 0, місто Роксолана, 62458",801-33-62,bandreiko@i.ua
